ticker,start_date,end_date
002760.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004450.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
006370.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004920.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
031820.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003560.KS,2000-01-04 00:00:00+09:00,2024-12-10 00:00:00+09:00
005750.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
009190.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003010.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000890.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
009180.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002360.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002795.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
010660.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
